"","lu_rail_dlr","recorded_date","committed_date_time","source","crime_desc","victim_gender","age","diff","age_n","victim_year_of_birth","historic","futurecrimes"
"4275","LONDON UNDERGROUND",2015-11-22,2015-09-22 08:44:00,"Not Stated","Exposure","F","Not Known",2m -1d 15H 16M 0S,NA,NA,1,0
"4276","LONDON UNDERGROUND",2015-11-23,2015-11-18 17:52:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","26",4d 6H 8M 0S,26,1989,1,0
"4277","LONDON UNDERGROUND",2015-11-27,2015-11-25 08:55:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",1d 15H 5M 0S,29,1986,1,0
"4278","LONDON UNDERGROUND",2014-10-25,2014-10-22 08:25:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",2d 15H 35M 0S,NA,NA,1,0
"4279","LONDON UNDERGROUND",2014-10-28,2014-10-28 08:15:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",-8H -15M 0S,NA,NA,0,0
"4280","LONDON UNDERGROUND",2014-10-28,2014-10-28 18:00:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","32",-18H 0M 0S,32,1982,0,0
"4281","LONDON UNDERGROUND",2014-10-29,2014-10-29 08:30:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","35",-8H -30M 0S,35,1979,0,0
"4282","LONDON UNDERGROUND",2014-11-01,2014-11-01 06:15:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",-6H -15M 0S,23,1991,0,0
"4283","LONDON UNDERGROUND",2015-12-08,2015-12-07 07:39:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","26",16H 21M 0S,26,1989,0,0
"4284","LONDON UNDERGROUND",2015-12-12,2015-12-10 07:15:00,"Not Stated","Sexual Assault On A Male Aged 13 And Over No Penetration","M","16",1d 16H 45M 0S,16,1999,1,0
"4285","LONDON UNDERGROUND",2015-12-16,2015-12-15 20:20:00,"Not Stated","Exposure","F","Not Known",3H 40M 0S,NA,NA,0,0
"4286","LONDON UNDERGROUND",2014-11-17,2014-11-17 18:10:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",-18H -10M 0S,23,1991,0,0
"4287","LONDON UNDERGROUND",2015-12-23,2014-04-15 19:33:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",1y 8m 7d 4H 27M 0S,NA,NA,1,0
"4288","LONDON UNDERGROUND",2015-12-25,2015-02-26 19:05:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration",NA,"Not Known",9m 28d 4H 55M 0S,NA,NA,1,0
"4289","LONDON UNDERGROUND",2015-12-30,2015-12-30 23:00:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",-23H 0M 0S,30,1985,0,0
"4290","LONDON UNDERGROUND",2014-12-02,2014-11-29 19:30:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",2d 4H 30M 0S,25,1989,1,0
"4291","LONDON UNDERGROUND",2014-12-05,2014-12-03 18:25:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",1d 5H 35M 0S,24,1990,1,0
"4292","LONDON UNDERGROUND",2014-12-15,2014-12-15 08:55:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",-8H -55M 0S,20,1994,0,0
"4293","LONDON UNDERGROUND",2015-10-13,2015-10-13 08:59:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","38",-8H -59M 0S,38,1977,0,0
"4294","National Rail",2017-01-01,2016-12-31 21:40:00,"Other 3rd party reporting","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,2H 20M 0S,22,1994,0,0
"4295","London Underground",2017-01-01,2017-01-01 04:50:00,"Non-emergency telephone call e.g. (101)","E41  Exposure (E41)",NA,NA,-4H -50M 0S,29,1988,0,0
"4296","London Underground",2017-01-01,2017-01-01 05:34:00,"Reported in person - Outside police station","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-5H -34M 0S,36,1981,0,0
"4297","London Underground",2017-01-01,2017-01-01 14:35:00,"Reported in person - Outside police station","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-14H -35M 0S,30,1987,0,0
"4298","London Underground",2017-01-01,2017-01-01 18:26:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-18H -26M 0S,NA,NA,0,0
"4299","National Rail",2017-01-03,2017-01-03 16:00:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-16H 0M 0S,NA,NA,0,0
"4300","London Underground",2017-01-03,2017-01-03 21:35:00,"Reported in person - Outside police station","E40  Administering A Substance With Intent To Commit A Sexual Offence E.G. Drugs In Alcoholic Drink In A Bar (E40)","Female",NA,-21H -35M 0S,23,1994,0,0
"4301","London Underground",2017-01-04,2017-01-03 14:23:00,"Emergency telephone call e.g. (999)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,9H 37M 0S,NA,NA,0,0
"4302","London Underground",2017-01-04,2017-01-03 21:00:00,"Reported in person - Outside police station","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,3H 0M 0S,23,1994,0,0
"4303","London Underground",2017-01-04,2017-01-04 09:43:00,"Text message to the Police","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-9H -43M 0S,NA,NA,0,0
"4304","National Rail",2017-01-04,2017-01-04 18:03:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-18H -3M 0S,20,1997,0,0
"4305","London Underground",2017-01-04,2017-01-04 18:19:00,"Other 3rd party reporting","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-18H -19M 0S,NA,NA,0,0
"4306","London Underground",2017-01-05,2016-08-16 23:59:00,"Email to the police","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,4m 19d 0H 1M 0S,NA,NA,1,0
"4307","London Underground",2017-01-05,2016-10-05 23:59:00,"Email to the police","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,3m -1d 0H 1M 0S,NA,NA,1,0
"4308","London Underground",2017-01-05,2016-10-13 00:00:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,2m 23d 0H 0M 0S,NA,NA,1,0
"4309","London Underground",2017-01-05,2017-01-05 13:00:00,"Other 3rd party reporting","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-13H 0M 0S,NA,NA,0,0
"4310","London Underground",2017-01-05,2017-01-05 16:35:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-16H -35M 0S,36,1981,0,0
"4311","National Rail",2017-01-05,2017-01-05 17:15:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-17H -15M 0S,31,1986,0,0
"4312","London Underground",2017-01-05,2017-01-05 18:15:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-18H -15M 0S,26,1991,0,0
"4313","London Underground",2017-01-06,2017-01-06 08:35:00,"Text message to the Police","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-8H -35M 0S,28,1989,0,0
"4314","London Underground",2017-01-06,2017-01-06 17:15:00,"Text message to the Police","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-17H -15M 0S,22,1995,0,0
